epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.303,0.89954,2.96705,1.40238,0.4334,0.52344,0.4511,0.37184,0.71603,1.41907,1.274,0.000118405,0.000118405,0.000118405
2,245.366,0.64681,1.33944,1.16363,0.46142,0.59025,0.50633,0.42049,0.68177,1.10719,1.25521,0.000229571,0.000229571,0.000229571
3,367.486,0.61383,1.06438,1.13029,0.56184,0.59536,0.55051,0.46682,0.63781,0.98823,1.15909,0.000332882,0.000332882,0.000332882
4,489.103,0.58728,0.87201,1.11048,0.55633,0.63208,0.55413,0.4607,0.66554,0.94898,1.21187,0.000321657,0.000321657,0.000321657
5,610.582,0.55278,0.74853,1.08685,0.67788,0.66155,0.64283,0.56296,0.55919,0.78483,1.07013,0.000309876,0.000309876,0.000309876
6,732.526,0.53568,0.66809,1.07781,0.72095,0.68132,0.7052,0.60211,0.63305,0.72641,1.15249,0.000298095,0.000298095,0.000298095
7,853.524,0.52167,0.61261,1.06702,0.78357,0.68864,0.74043,0.58451,0.84131,0.71527,1.45169,0.000286314,0.000286314,0.000286314
8,974.8,0.50438,0.57175,1.05673,0.82725,0.75306,0.78368,0.68196,0.53857,0.54774,1.04741,0.000274533,0.000274533,0.000274533
9,1096.26,0.49472,0.53915,1.05069,0.84746,0.75191,0.80483,0.69791,0.58217,0.52593,1.08877,0.000262752,0.000262752,0.000262752
10,1217.33,0.48466,0.51416,1.04351,0.8865,0.75513,0.81962,0.72003,0.49526,0.49091,1.00519,0.000250971,0.000250971,0.000250971
11,1338.55,0.48378,0.50033,1.04245,0.85782,0.77609,0.83101,0.73344,0.49832,0.46462,1.00641,0.00023919,0.00023919,0.00023919
12,1460.52,0.47541,0.48574,1.03777,0.87565,0.78142,0.84079,0.73829,0.53248,0.44292,1.03832,0.000227409,0.000227409,0.000227409
13,1581.48,0.4623,0.46402,1.03123,0.89558,0.78219,0.84992,0.75152,0.49433,0.42501,0.99273,0.000215628,0.000215628,0.000215628
14,1702.2,0.46035,0.44692,1.02754,0.91231,0.80875,0.87238,0.76702,0.49633,0.38154,0.99689,0.000203847,0.000203847,0.000203847
15,1822.85,0.45399,0.4353,1.02624,0.90436,0.82013,0.87034,0.77455,0.47584,0.36742,0.97871,0.000192066,0.000192066,0.000192066
16,1944.01,0.44648,0.427,1.02226,0.92936,0.81233,0.88201,0.78425,0.49627,0.37163,0.99468,0.000180285,0.000180285,0.000180285
17,2064.85,0.4388,0.4191,1.01586,0.94517,0.81118,0.88154,0.78806,0.46188,0.34589,0.96484,0.000168504,0.000168504,0.000168504
18,2185.74,0.43473,0.40831,1.01601,0.92455,0.83165,0.89118,0.79735,0.46737,0.33158,0.97161,0.000156723,0.000156723,0.000156723
19,2306.96,0.43076,0.3983,1.01391,0.93729,0.83253,0.89053,0.79678,0.46235,0.32448,0.96689,0.000144942,0.000144942,0.000144942
20,2428.02,0.42158,0.38685,1.0073,0.9384,0.83481,0.90668,0.81584,0.43761,0.31202,0.94776,0.000133161,0.000133161,0.000133161
21,2550.75,0.46427,0.30727,1.10446,0.95215,0.8326,0.90574,0.81231,0.45764,0.31852,0.96202,0.00012138,0.00012138,0.00012138
22,2670.86,0.44974,0.28413,1.08878,0.9566,0.83542,0.9026,0.80915,0.43799,0.30404,0.94745,0.000109599,0.000109599,0.000109599
23,2791.27,0.43945,0.27954,1.07912,0.93062,0.847,0.90176,0.81279,0.43993,0.30237,0.94514,9.7818e-05,9.7818e-05,9.7818e-05
24,2910.89,0.43268,0.26508,1.07377,0.9462,0.85303,0.91164,0.82368,0.42029,0.28461,0.93715,8.6037e-05,8.6037e-05,8.6037e-05
25,3030.4,0.42241,0.25451,1.06719,0.94319,0.86357,0.91406,0.82487,0.42997,0.281,0.94196,7.4256e-05,7.4256e-05,7.4256e-05
26,3150.17,0.41758,0.24844,1.06051,0.96097,0.85836,0.92105,0.82987,0.42912,0.27656,0.93608,6.2475e-05,6.2475e-05,6.2475e-05
27,3270.24,0.41244,0.2409,1.05573,0.94405,0.86557,0.9172,0.83078,0.4171,0.27693,0.93178,5.0694e-05,5.0694e-05,5.0694e-05
28,3390.32,0.40433,0.2375,1.04654,0.95382,0.86758,0.91914,0.83438,0.41464,0.26927,0.92853,3.8913e-05,3.8913e-05,3.8913e-05
29,3509.99,0.40391,0.23163,1.04707,0.95618,0.86449,0.92013,0.835,0.41355,0.26805,0.92795,2.7132e-05,2.7132e-05,2.7132e-05
30,3630.26,0.39915,0.22976,1.04644,0.95816,0.8668,0.92073,0.83534,0.41152,0.26333,0.92719,1.5351e-05,1.5351e-05,1.5351e-05
